id_imovel,uf,cidade,bairro,endereco,cep,tipo_imovel,quartos,area_m2,preco_venda,valor_avaliacao,desconto_pct,modalidade,descricao,url_detalhe,url_foto,link, 10005121 ,AC ,CRUZEIRO DO SUL ,BAIRRO COHAB ,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ","67.957,93","150.000,00",54.70,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005121,UF_origem,"	var __uzdbm_2 = ""MTVjODFhNzYtYzRvMy00MzM2LWI5MWYtM2JhNzY4OTNjZTk4JDEzNS4yMzIuMjAxLjI0MA==""",Unnamed: 1,"	var __uzdbm_2 = ""MzIyMzcwMzctYzRvMy00NzkwLThiOWQtOGE0ZTZjOGVmNjcwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NTQxZjk3NmEtYzRvMy00ZWM4LWJiNWEtMjNhMzQ3MDAyZjAyJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""YTc4Yjc0OGEtYzRvMy00MzI2LTliYTAtMTVlYjczZWM4OGIyJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MGZmZmFjOGYtYzRvMy00YTFmLTgyMGYtM2M0YmM1ODlhMDkxJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NmI1NDBkZGQtYzRvMy00ZTA3LTliNmUtYjljZTFjYzQ3MDQ2JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ODJkOTFkYzMtYzRvMy00NDE1LTlmMGQtZmJjZDcxNmQwZTA5JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NjcwYWJiNDMtYzRvMy00NWJlLWFmZTMtODhiMDMxZDRhMmYxJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MTlmZTg4MjItYzRvMy00MzVhLWE3MDMtYjNhYjBmOWNlMmRlJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NzQ4N2ZjYTgtYzRvMy00NjY0LWE4M2EtOGI5NTRmYjY4MzAwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NTU5YmVmY2YtYzRvMy00YmZmLWEyMzYtNTZhMjg0ZjBlN2E4JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MTc2MzZjNDEtYzRvMy00ODE4LWE0Y2UtZGJhNmI3NmM1ZmJmJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NzZkNTdiY2ItYzRvMy00NzUwLWJjMTEtNTc0OTk2MmZlMjE0JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MmRjNzgzMzAtYzRvMy00ZGU3LTlmMzItOGE4MzJiOGYyNDYwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NWI2OGE3NGUtYzRvMy00MDBhLThiYTItNWI5ZTkxY2Q2NTQyJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""OWIwYjc0OTQtYzRvMy00ZmIwLWEyNTctZTVjY2RhMDY5NzI3JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""YzAwYmVkNDUtYzRvMy00MDc4LWIxOGQtNTRiZmRkNzA1YmNlJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MDhlZjA4MDgtYzRvMy00MjAzLTk5MjctY2FmMmQ5MmFlZmU5JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NDY4ZTllZDUtYzRvMy00NjFlLWJkZWYtYTc3YTYyMGIyYThjJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ZWVkZDVmODktYzRvMy00MTM5LThkODctYjZhNjViMWU1NmMwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MGY5YmIzNjgtYzRvMy00MTRjLTk3MTYtM2M0Yjc2NjVkNGMzJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ZGNlOWU2NzUtYzRvMy00MTNkLThkN2UtMjgxZjk2M2YxMTc0JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""Y2RjY2Q2M2EtYzRvMy00OTE5LTg1NmItODg4Y2ZjZDViNjMzJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MDJkZmY4MWMtYzRvMy00N2M1LTkxMDYtZjhlZGVlMTUzZjY5JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ZWRhYzBhYTItYzRvMy00ZTExLWJhZGEtODJmNWJkMmY2NmUxJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NGFjNDRkYmYtYzRvMy00MWY2LWEyMDQtMjdkZDhlZjBjZTU2JDEzNS4yMzIuMjAxLjI0MA==""",desconto
,,,,,,Outro,,,,,,,,,,, 10005122 ,AC ,CRUZEIRO DO SUL ,BAIRRO COHAB ,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12 ","67.957,93","150.000,00",54.70,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005122,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444420699441 ,AC ,CRUZEIRO DO SUL ,CENTRO ," AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18 ","294.095,15","507.000,00",42.00,Sim,"Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420699441,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 8444433039915 ,AC ,CRUZEIRO DO SUL ,CRUZEIRÃO ," RUA MATO GROSSO, N. SN, SETOR 04 B QD 243 B LT 07 ","126.322,42","209.000,00",39.56,Não,"Casa, 115.50 de área total, 115.50 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433039915,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 8444411200837 ,AC ,CRUZEIRO DO SUL ,TELEGRAFO ," RUA SERGIPE, N. 791, SETOR 03 B QD 295 LT 16 ","116.600,66","190.000,00",38.64,Não,"Casa, 111.70 de área total, 111.70 de área privativa, 300.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411200837,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 8444400929075 ,AC ,PORTO ACRE ,CORONEL JOSE CANDIDO ," RUA LUIZ GALVEZ, N. SN,  QD 46 LT 05 ","75.719,15","138.000,00",45.14,Não,"Casa, 0.00 de área total, 258.00 de área privativa, 580.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400929075,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 10151420 ,AC ,RIO BRANCO ,FLORESTA SUL ,ESTRADA DA FLORESTA ,"5.140.443,96","9.226.000,00",44.29,Sim,"Gleba, 0.00 de área total, 0.00 de área privativa, 49338.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10151420,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444400380830 ,AC ,RIO BRANCO ,VILA IVONETE ,"RUA CAMPINA GRANDE, N. 56,  LT 02, QD A ","343.401,05","592.000,00",42.00,Sim,"Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400380830,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 8555520116073 ,AC ,RIO BRANCO ,CALAFATE ,"ESTRADA DO CALAFATE, N. S/N, Apto 401, BL 8 ","125.718,01","208.000,00",39.56,Não,"Apartamento, 57.60 de área total, 53.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520116073,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444406697321 ,AC ,RIO BRANCO ,LOT NOVA ESPERANÇA ,"RUA BENZINHO, N. SN, QD 06, LT 38 ","190.110,85","314.000,00",39.46,Não,"Casa, 144.00 de área total, 144.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406697321,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1600000161288 ,AC ,RIO BRANCO ,ESTACAO EXPERIMENTAL ," RUA BOA VISTA, N. SN, ","530.372,96","876.000,00",39.46,Não,"Casa, 310.94 de área total, 173.15 de área privativa, 630.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000161288,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
