
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444431950637 ;BA ;ALAGOINHAS ;CENTRO ;RUA SAO JOSE, N. S/N, CS 581 QD 17 LT 09 ;65.921,81;115.000,00;42.68;Não;Casa, 38.82 de área total, 38.82 de área privativa, 153.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431950637
 8555536004121 ;BA ;ALAGOINHAS ;ALAGOINHAS ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 304, BL 31 ;81.964,82;140.000,00;41.46;Não;Apartamento, 43.51 de área total, 43.52 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536004121
 1444406192505 ;BA ;ALAGOINHAS ;LOT PORTO FELIZ ; RUA G, N. 189, ;82.786,76;137.000,00;39.58;Não;Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406192505
 1555529342515 ;BA ;ALAGOINHAS ;BARREIRO ;RUA DOS EUCALIPTOS, N. 273, ;109.315,98;177.000,00;38.24;Não;Casa, 66.00 de área total, 66.00 de área privativa, 195.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555529342515
 1444405540550 ;BA ;ALAGOINHAS ;JARDIM PETROLAR ;RUA A, N. SN, Apto 203, LT 02 QD D ;165.064,40;259.000,00;36.27;Sim;Apartamento, 0.00 de área total, 74.63 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405540550
 1444418744869 ;BA ;ALAGOINHAS ;ALAGOINHAS VELHA ;RUA REGENTE ARAUJO LIMA, N. SN, QD 27, LT 01 ;125.000,00;125.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418744869
 8555519461242 ;BA ;ALAGOINHAS ;MANGALO ;RUA CORA CORALINA, N. 139, QD 11, LT 24 ;135.000,00;135.000,00;0.00;Não;Casa, 0.00 de área total, 43.19 de área privativa, 153.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519461242
 1787701320643 ;BA ;ALAGOINHAS ;PRACA KENNEDY ;AVENIDA PAULO AFONSO, N. SN, CS 165 QD J TP 1 ;365.000,00;365.000,00;0.00;Não;Casa, 63.97 de área total, 63.97 de área privativa, 133.60 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701320643
 8555537246064 ;BA ;ALAGOINHAS ;CATU ;AVENIDA CONSELHEIRO JUNQUEIRA, N. SN, QUADRA X, LOTE 01 ;170.000,00;170.000,00;0.00;Não;Casa, 50.02 de área total, 50.02 de área privativa, 154.64 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537246064
 1555535804258 ;BA ;ALAGOINHAS ;NOVA BRASILIA ;RUA SAO GABRIEL, N. SN, ;878.800,00;878.800,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 20000.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555535804258
 8787718216338 ;BA ;ALAGOINHAS ;NOVA ALAGOINHAS ;AVENIDA LINHA VERDE, N. SN, CS178  QD F ;200.000,00;200.000,00;0.00;Não;Casa, 159.65 de área total, 42.64 de área privativa, 144.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718216338
 8444413544738 ;BA ;BARREIRAS ;VILA AMORIM ;RUA PRESIDENTE MEDICI, N. 752, Apto  CAS, QD- XLVI ;107.408,59;201.000,00;46.57;Não;Casa, 0.00 de área total, 65.53 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413544738
 8444413294758 ;BA ;BARREIRAS ;Lot Leopoldina Castr ;AVENIDA INTERNACIONAL, N. 1178, CS 002, QD G, LT 06 ;85.653,23;154.000,00;44.39;Não;Casa, 53.05 de área total, 53.05 de área privativa, 75.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413294758
 1444401581554 ;BA ;BARREIRAS ;LOT BRAGA E CIA ;RUA CARIBE, N. 182, CS 08 QD H LT 02 A 06 ;125.569,94;210.000,00;40.21;Não;Casa, 0.00 de área total, 82.36 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401581554
 8444418118435 ;BA ;BARREIRAS ;Pq. Novo Horizonte ;RUA ANISIO TEIXEIRA, N. 1041, CS004 LT11 QD13 ;118.465,05;196.000,00;39.56;Não;Casa, 54.04 de área total, 54.04 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418118435
 1555532275017 ;BA ;BARREIRAS ;MORADA DA LUA ;RUA OTACILIO MONTEIRO DA FRANCA, N. 100, LT 08, QD 40 ;203.144,02;318.750,14;36.27;Sim;Casa, 164.00 de área total, 164.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555532275017
 1444400468134 ;BA ;BARREIRAS ;SAO PAULO ;RUA ROBERTO MARINHO, N. 351, LT 18, QD D ;299.537,72;470.000,00;36.27;Sim;Casa, 130.75 de área total, 130.75 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400468134
 8444434031799 ;BA ;BARREIRAS ;SANDRA REGINA ;RUA HAROLDO CAVALCANTE, N. 232, CS 02 ;879.106,60;815.000,00;0.00;Não;Casa, 134.52 de área total, 134.52 de área privativa, 180.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444434031799
 8444418343544 ;BA ;BOM JESUS DA LAPA ;Lot Lagoa Grande ;RUA ALAGOAS, N. 246, LT05A QD25 ;109.096,64;190.000,00;42.59;Não;Casa, 91.20 de área total, 91.20 de área privativa, 150.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418343544
 8444407031392 ;BA ;BOM JESUS DA LAPA ;BAIRRO LAGOA GRANDE ; RUA JOAQUIM DOS PASSOS MARTINS, N. 917, QD 23, LT 22 ;105.733,68;183.000,00;42.23;Não;Casa, 86.80 de área total, 86.80 de área privativa, 180.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407031392
 8444423144929 ;BA ;BOM JESUS DA LAPA ;MIRANTE DA LAPA ; VIA LOCAL 19, N. 505, QD. 4, LOTE 11-B ;100.148,49;169.000,00;40.75;Não;Casa, 80.00 de área total, 80.00 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423144929
 1444407517793 ;BA ;BOM JESUS DA LAPA ;JUREMA ;LOTEAMENTO JUREMA, N. SN, QUADRA IV ;70.592,66;118.000,00;40.18;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407517793
 8444433173220 ;BA ;BOM JESUS DA LAPA ;LOTEAMENTO MARIANA ;RUA LAS VEGAS, N. 58, LT 20A QD 24 ;183.691,35;300.000,00;38.77;Sim;Casa, 86.35 de área total, 86.35 de área privativa, 164.37 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433173220
 1444417445612 ;BA ;BOM JESUS DA LAPA ;MIRANTE DA LAPA ;VIA LOCAL 17, N. 75, LT 05 QD 18 ;261.298,86;410.000,00;36.27;Sim;Casa, 156.03 de área total, 156.03 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417445612
 1444423816457 ;BA ;BOM JESUS DA LAPA ;SÃO CONRADO ; VIA LOCAL 11, N. 213, LT 06, QD 21 ;261.298,86;410.000,00;36.27;Sim;Casa, 180.50 de área total, 180.50 de área privativa, 302.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423816457
 8444413624170 ;BA ;BOM JESUS DA LAPA ;SHANGRI-LA ;RUA RORAIMA, N. 383, QD FE, LT 33 ;212.000,00;212.000,00;0.00;Não;Casa, 0.00 de área total, 81.06 de área privativa, 225.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413624170
 8555534658760 ;BA ;CAMACARI ;SUCUPIO ;RUA SUCUPIO, N. SN, Apto 304, BL 04 ;70.452,00;166.000,00;57.56;Não;Apartamento, 0.00 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534658760
 8787715270072 ;BA ;CAMACARI ;LAGOA BRANCA ;RUA LAGOA BRANCA, N. SN, Apto 4, BL 14 ;67.905,55;160.000,00;57.56;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715270072
 8444407962566 ;BA ;CAMACARI ;LAMA PRETA ;AVENIDA OCTAVIO MANGABEIRA, N. S/N, CS 10 ;77.444,70;160.000,00;51.60;Não;Casa, 50.53 de área total, 50.53 de área privativa, 174.52 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407962566
 8787714042475 ;BA ;CAMACARI ;VILA DE ABRANTES ;RUA DA BELGICA, N. S/N, Apto 001, BL. 04 ;70.891,15;145.000,00;51.11;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714042475
 8787711587381 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 01, BL 10 ;67.948,73;138.000,00;50.77;Não;Apartamento, 80.61 de área total, 40.53 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711587381
